"","year","CO2","CH4","NO2","SGG","site_number","latitude","longitude","location_name","country","state","count_max","max","count_min","min","mean"
"111",1912,298.89074,0.92926,0.28156,3.7e-05,"039066",-25.62,151.62,"GAYNDAH","Australia","Queensland",364,28.6648351648352,363,13.3493112947658,21.0070732298005
"112",1912,298.89074,0.92926,0.28156,3.7e-05,"091311",-41.55,147.22,"LAUNCESTON","Australia","Tasmania",365,16.7805479452055,366,4.92868852459016,10.8546182348978
"113",1912,298.89074,0.92926,0.28156,3.7e-05,"009999",-34.94,117.82,"ALBANY","Australia","Western Australia",365,19.4687671232877,366,10.05,14.7593835616438
"114",1912,298.89074,0.92926,0.28156,3.7e-05,"074258",-35.56,144.95,"DENILIQUIN","Australia","New South Wales",364,22.4489010989011,325,8.54246153846154,15.4956813186813
"115",1912,298.89074,0.92926,0.28156,3.7e-05,"048245",-30.04,145.95,"BOURKE","Australia","New South Wales",363,27.3096418732782,366,12.5510928961749,19.9303673847266
"116",1912,298.89074,0.92926,0.28156,3.7e-05,"031011",-16.87,145.75,"CAIRNS","Australia","Queensland",362,29.239226519337,365,19.6164383561644,24.4278324377507
"117",1912,298.89074,0.92926,0.28156,3.7e-05,"017126",-29.66,138.07,"MARREE","Australia","South Australia",364,27.6027472527473,366,13.070218579235,20.3364829159911
"118",1912,298.89074,0.92926,0.28156,3.7e-05,"080023",-35.72,143.92,"KERANG","Australia","Victoria",361,22.2382271468144,360,8.25722222222222,15.2477246845183
"119",1912,298.89074,0.92926,0.28156,3.7e-05,"092045",-40.99,148.35,"LARAPUNA","Australia","Tasmania",342,17.3260233918129,366,10.0174863387978,13.6717548653053
"120",1912,298.89074,0.92926,0.28156,3.7e-05,"026021",-37.75,140.77,"MOUNT","Australia","South Australia",363,19.6184573002755,364,7.54945054945055,13.583953924863
"121",1912,298.89074,0.92926,0.28156,3.7e-05,"010917",-32.67,116.67,"WANDERING","Australia","Western Australia",359,22.7303621169916,363,7.98484848484848,15.3576053009201
"122",1912,298.89074,0.92926,0.28156,3.7e-05,"085072",-38.12,147.13,"EAST","Australia","Victoria",366,19.6967213114754,364,6.48791208791209,13.0923166996938
"123",1912,298.89074,0.92926,0.28156,3.7e-05,"021133",-33.77,138.22,"RAYVILLE","Australia","South Australia",366,22.9743169398907,362,8.36408839779006,15.6692026688404
"124",1912,298.89074,0.92926,0.28156,3.7e-05,"012038",-30.78,121.45,"KALGOORLIE-BOULDER","Australia","Western Australia",366,25.4256830601093,365,11.8394520547945,18.6325675574519
"125",1912,298.89074,0.92926,0.28156,3.7e-05,"026026",-37.16,139.76,"ROBE","Australia","South Australia",364,18.2271978021978,364,10.7074175824176,14.4673076923077
"126",1912,298.89074,0.92926,0.28156,3.7e-05,"085096",-39.13,146.42,"WILSONS","Australia","Victoria",365,16.3005479452055,364,11.8912087912088,14.0958783682071
"127",1912,298.89074,0.92926,0.28156,3.7e-05,"036031",-23.44,144.28,"LONGREACH","Australia","Queensland",366,32.0286885245902,365,15.1621917808219,23.595440152706
"128",1912,298.89074,0.92926,0.28156,3.7e-05,"009617",-33.95,116.13,"BRIDGETOWN","Australia","Western Australia",362,21.9878453038674,362,7.64281767955801,14.8153314917127
"129",1912,298.89074,0.92926,0.28156,3.7e-05,"056242",-29.78,151.11,"INVERELL","Australia","New South Wales",366,23.7852459016393,366,5.7724043715847,14.778825136612
"130",1912,298.89074,0.92926,0.28156,3.7e-05,"006011",-24.89,113.67,"CARNARVON","Australia","Western Australia",366,27.5893442622951,364,15.571978021978,21.5806611421366
"131",1912,298.89074,0.92926,0.28156,3.7e-05,"086338",-37.83,144.98,"MELBOURNE","Australia","Victoria",366,19.1803278688525,366,9.90355191256831,14.5419398907104
"132",1912,298.89074,0.92926,0.28156,3.7e-05,"078015",-36.31,141.65,"NHILL","Australia","Victoria",363,20.936914600551,365,8.11945205479452,14.5281833276727
