"","year","CO2","CH4","NO2","SGG","location","latitude","longitude","location_name","country","state","count","mean","min","max"
"78",1880,288.9234,0.8366,0.27593,3.7e-05,"047053",-34.11,141.91,"WENTWORTH","Australia","New South Wales",366,0.559836065573771,0,17.5
"79",1880,288.9234,0.8366,0.27593,3.7e-05,"058012",-29.43,153.36,"YAMBA","Australia","New South Wales",366,2.21666666666667,0,80.8
"80",1880,288.9234,0.8366,0.27593,3.7e-05,"054004",-29.87,150.57,"BINGARA","Australia","New South Wales",366,1.60245901639344,0,77.7
"81",1880,288.9234,0.8366,0.27593,3.7e-05,"074128",-35.55,144.95,"DENILIQUIN","Australia","New South Wales",366,1.01284153005464,0,47
"82",1880,288.9234,0.8366,0.27593,3.7e-05,"085096",-39.13,146.42,"WILSONS","Australia","Victoria",366,3.93224043715847,0,55.4
"83",1880,288.9234,0.8366,0.27593,3.7e-05,"086131",-37.56,145.13,"YAN","Australia","Victoria",366,1.85054644808743,0,32
"84",1880,288.9234,0.8366,0.27593,3.7e-05,"082001",-36.37,146.71,"BEECHWORTH","Australia","Victoria",366,2.31065573770492,0,59.4
"85",1880,288.9234,0.8366,0.27593,3.7e-05,"089033",-37.69,142.72,"WICKLIFFE","Australia","Victoria",366,1.6431693989071,0,46.5
"86",1880,288.9234,0.8366,0.27593,3.7e-05,"084016",-37.57,149.91,"GABO","Australia","Victoria",366,3.58606557377049,0,104.1
"87",1880,288.9234,0.8366,0.27593,3.7e-05,"069018",-35.91,150.15,"MORUYA","Australia","New South Wales",366,3.10710382513661,0,102.9
"88",1881,289.0916,0.8384,0.27616,3.7e-05,"099001",-39.48,147.32,"DEAL","Australia","Tasmania",365,1.62876712328767,0,20.3
"89",1881,289.0916,0.8384,0.27616,3.7e-05,"047053",-34.11,141.91,"WENTWORTH","Australia","New South Wales",365,0.966027397260274,0,47
"90",1881,289.0916,0.8384,0.27616,3.7e-05,"054004",-29.87,150.57,"BINGARA","Australia","New South Wales",365,1.69561643835616,0,50.8
"91",1881,289.0916,0.8384,0.27616,3.7e-05,"075050",-33.61,146.32,"NARADHAN","Australia","New South Wales",365,1.28,0,44.2
"92",1881,289.0916,0.8384,0.27616,3.7e-05,"058063",-28.88,153.05,"CASINO","Australia","New South Wales",365,2.47068493150685,0,80
"93",1881,289.0916,0.8384,0.27616,3.7e-05,"062026",-32.81,149.98,"RYLSTONE","Australia","New South Wales",299,1.29397993311037,0,30.5
"94",1881,289.0916,0.8384,0.27616,3.7e-05,"062021",-32.6,149.6,"MUDGEE","Australia","New South Wales",365,1.27013698630137,0,27.2
"95",1881,289.0916,0.8384,0.27616,3.7e-05,"058012",-29.43,153.36,"YAMBA","Australia","New South Wales",297,3.04309764309764,0,58.4
"96",1881,289.0916,0.8384,0.27616,3.7e-05,"085096",-39.13,146.42,"WILSONS","Australia","Victoria",365,2.8358904109589,0,42.4
"97",1881,289.0916,0.8384,0.27616,3.7e-05,"069018",-35.91,150.15,"MORUYA","Australia","New South Wales",365,2.64109589041096,0,100.8
"98",1881,289.0916,0.8384,0.27616,3.7e-05,"054003",-30.38,150.61,"BARRABA","Australia","New South Wales",306,1.15424836601307,0,43.7
"99",1881,289.0916,0.8384,0.27616,3.7e-05,"074128",-35.55,144.95,"DENILIQUIN","Australia","New South Wales",365,0.947397260273973,0,55.4
